CustomerID,TotalSpend,TotalQuantity,Frequency
12643,3344.6400000000003,1808,24
12644,477.9100000000001,325,31
12645,1775.1800000000005,1084,73
12646,1346.9700000000003,897,45
12647,3722.820000000001,1431,121
12648,318.05,160,21
12649,623.5099999999999,586,31
12650,314.44,254,20
12651,114.00000000000003,78,9
12652,919.9799999999998,505,48
12653,2209.8500000000004,919,43
12654,601.98,264,38
12656,4051.170000000002,1723,126
12657,1643.18,1044,47
12658,686.0500000000001,320,36
12659,91.68,105,5
12660,245.10000000000002,127,13
12662,3849.7799999999984,2058,230
12664,4881.879999999999,1203,37
12665,63,37,3
12667,620.13,395,33
12668,3807.150000000002,1634,161
12669,2744.0300000000007,1115,101
12670,2996.0500000000006,1397,92
12672,225.9,78,10
12673,610.52,351,42
12674,1970.6000000000006,1133,83
12676,1331.3900000000006,670,45
12678,17628.460000000003,10923,165
12679,1113.0200000000002,554,48
12680,862.81,443,52
12681,13787.54,7536,638
12682,12288.219999999998,5575,525
12683,8476.569999999998,4987,344
12684,2283.6299999999997,1985,105
12685,2863.0800000000004,1523,157
12686,89.14,107,7
12688,4873.810000000005,3028,171
12689,1247.61,628,72
12690,389.00999999999993,106,16
12691,1035.8,394,32
12693,855.9099999999997,255,39
12694,869.6699999999998,509,37
12695,582.1,220,27
12697,957.5899999999999,508,41
12700,4939.990000000006,2967,268
12701,797.7099999999999,678,53
12702,219,53,12
12703,283.54999999999995,164,21
12704,2340.84,1006,88
12705,6868.290000000003,3997,334
12707,603.42,256,33
12708,2712.9100000000008,1307,157
12709,9736.519999999991,3936,208
12710,1149.0200000000007,851,77
12712,4396.129999999999,1062,133
12713,848.5499999999998,508,38
12714,4708.859999999994,3069,259
12715,353.85999999999996,197,21
12716,1053.4899999999996,708,69
12717,1030.98,506,55
12718,238.25000000000003,203,19
12719,644.9499999999999,374,39
12720,5781.730000000001,4672,354
12721,2656.130000000001,1959,161
12722,997.6299999999999,566,53
12723,725.0699999999998,434,69
12724,1031.4099999999999,445,53
12725,427.79999999999995,164,24
12726,2609.1000000000004,3143,124
12727,3980.7000000000003,2098,139
12728,836.3299999999999,419,46
12729,453.0100000000001,233,26
12731,18895.910000000003,8437,274
12732,236.2600000000001,111,12
12733,383.95,137,22
12734,110.39999999999999,88,4
12735,779.5699999999998,368,43
12736,234.00000000000003,173,4
12738,155.35,148,11
12739,1013.0400000000001,486,38
12740,427.5999999999999,342,27
12743,546.4299999999997,319,134
12744,21279.289999999994,5241,222
12747,4196.010000000001,1275,103
12748,33719.730000000316,25747,4595
12749,4090.880000000001,1471,199
12750,275.88,137,15
12752,4366.779999999999,2262,53
12753,21429.39,11421,197
12754,3010.74,6481,63
12755,3811.9499999999994,1491,4
12756,112.08000000000001,144,4
12757,7857.0999999999995,2402,371
12758,2791.590000000001,2135,97
12759,1531.4400000000007,902,95
12762,1898.5200000000004,1227,69
12763,494.08,316,18
12764,1693.8800000000003,386,45
12766,6989.629999999999,3646,310
12769,1143.6000000000001,356,32
12770,1351.4499999999998,743,12
12772,892.4700000000004,556,55
12775,1386.0400000000004,877,66
12778,822.2300000000001,825,50
12779,3981.360000000003,2024,149
12781,826.7400000000001,671,25
12782,2330.9200000000014,1086,103
12783,2225.91,624,84
12784,574.42,300,59
12785,311.95,131,14
12787,463.65999999999997,261,20
12789,91.85000000000001,4,4
12790,324.9200000000001,166,21
12791,192.60000000000002,97,2
12792,400.54,217,25
12793,545.48,295,24
12794,860.4099999999999,592,45
12795,430.4800000000001,68,14
12797,254.03,118,13
12798,6977.039999999999,5256,8
12802,427.5799999999999,314,25
12808,483.65000000000015,188,28
12809,489.31,220,25
12811,514.85,230,31
12812,229.63999999999993,164,15
12814,125.92,49,2
12815,1063.46,379,47
12816,572.2,128,29
12817,166.04,53,4
12818,1542.08,929,14
12820,942.3399999999999,722,59
12821,92.72,70,6
12822,948.8799999999999,550,46
12823,1759.5,230,5
12824,397.11999999999995,232,25
12826,1474.7199999999993,1058,91
12827,430.15,197,25
12828,1018.7100000000003,494,56
12829,293,376,11
12830,6814.640000000001,9848,38
12831,215.05,135,9
12832,383.03000000000003,195,27
12833,417.37999999999994,156,24
12834,312.38,110,18
12836,2612.8599999999988,1064,175
12837,134.1,24,12
12838,683.1299999999994,359,123
12839,5591.420000000003,3807,314
12840,2726.769999999999,1511,113
12841,4022.3499999999967,2757,420
12842,1118.99,547,34
12843,1702.26,781,103
12844,325.9599999999999,125,52
12845,354.09000000000003,204,27
12847,871.53999999999985,909,91
12849,1050.8899999999999,623,51
12851,135.17999999999995,109,50
12852,311.54999999999995,149,17
12853,1957.1,800,78
12854,1324.5000000000007,627,110
12855,38.1,30,3
12856,2179.9300000000007,1079,314
12857,1106.4000000000003,343,46
12863,521.2,188,5
12864,147.12,216,3
12865,1568.229999999999,925,95
12866,559.1199999999999,171,26
12867,4036.819999999996,4298,538
12868,1607.0600000000009,928,107
12871,380.64000000000004,200,11
12872,599.9699999999998,319,66
12873,374,128,4
12875,343.2300000000001,2019,2
12876,2218.0200000000004,1941,85
12877,1535.7700000000007,1178,154
12878,854.9899999999999,547,47
12879,573.22,370,10
12881,298,21,7
12882,1463.0399999999995,246,13
12883,703.4700000000001,196,42
12884,309.05000000000007,43,7
12885,1175.2199999999996,655,71
12886,1378.4,770,82
12888,354.12,76,5
12890,380.46999999999997,259,82
12891,331,950,3
12893,188.14,96,34
12895,372.79999999999995,210,22
12897,216.5,110,4
12901,17654.539999999997,23075,116
12902,138.68,66,10
12904,509.57999999999976,302,72
12906,2919.809999999999,1749,63
12908,750,1200,2
12909,2178.67,1280,91
12910,3075.0400000000013,1692,75
12912,1662.3,670,24
12913,2483.6299999999997,1419,50
12915,363.65,93,22
12916,3006.1500000000005,1119,107
12917,594,120,2
12919,1335.1899999999998,673,50
12920,164.23000000000002,129,28
12921,16587.09000000002,9526,720
12922,405.38,370,28
12923,176.97,69,29
12924,933.7000000000003,481,30
12925,694.0499999999998,541,45
12928,2062.6999999999994,1472,84
12929,117.85000000000001,37,8
12930,415.8,252,25
12931,42055.95999999999,28004,82
12933,607.5299999999999,499,106
12935,2160.6999999999994,1853,129
12936,1063.9000000000005,559,62
12937,1504.2700000000004,1007,120
12938,114.14,140,9
12939,11581.8,4876,47
12940,913.5400000000001,411,99
12942,683.9000000000001,203,75
12944,604.51,289,30
12945,462.95000000000005,165,23
12947,1603.9900000000002,1165,97
12948,2064.95,1080,116
12949,4167.220000000001,2381,215
12950,1843,1380,23
12951,1064.0700000000004,503,63
12952,1387.7900000000004,653,79
12953,329.84999999999997,84,17
12955,4757.159999999999,3664,180
12956,108.07,34,19
12957,4017.5400000000027,2549,238
12962,266.39000000000004,129,16
12963,1856.6299999999997,881,95
12965,771.9099999999996,283,109
12966,160.18,75,10
12967,1660.9,438,19
12968,135.95,73,5
12970,452.23999999999995,310,151
12971,11189.909999999996,9289,305
12974,144.8,24,8
12976,738.6,561,22
12977,39.24,12,9
12980,7374.9000000000005,886,20
12981,372.21999999999997,242,20
12982,390.53999999999996,288,28
12984,97.5,26,4
12985,1239.38,1533,76
12987,558.7,219,28
12988,535.32,136,92
12989,6924.109999999996,2943,64
12990,409.50000000000006,200,13
12991,503.76,405,31
12993,414.75999999999993,240,27
12994,974.42,459,61
12995,211.32,108,3
12997,1226.89,664,59
12999,455.8799999999999,342,28
13000,534.8500000000001,379,31
13001,9818.820000000012,5505,339
13002,120.94999999999999,73,7
13003,149.05,103,6
13004,5655.91,4822,404
13005,513.7,172,26
13006,81.57,55,4
13008,229.47000000000003,175,14
13011,50.550000000000004,13,3
13012,1661.8400000000008,824,89
13013,4810.9400000000005,2224,219
13014,3466.2799999999997,905,109
13015,3346.2800000000016,1617,176
13016,789.8899999999996,527,47
13017,204,48,1
13018,7277.699999999997,5435,458
13021,2616.38,1352,131
13023,689.9000000000001,286,40
13026,975.3599999999998,1620,40
13027,6912,17280,26
13028,661.32,798,45
13029,1247.5,134,10
13030,799.4800000000001,394,99
13032,1010.1799999999997,375,71
13033,190.54999999999998,83,11
13034,642.77,369,37
13035,921.8800000000002,644,27
13037,881.07,431,48
13038,908.46,360,28
13040,676.9900000000001,355,43
13043,516.4200000000001,254,13
13044,560.4700000000001,429,33
13045,305.28,221,18
13046,629.31,264,35
13047,3237.540000000001,1391,172
13048,1835.9099999999994,1238,136
13049,656.6800000000002,268,14
13050,5836.86,3748,403
13052,348.15000000000003,222,18
13055,1214.41,894,76
13058,271.4,52,8
13059,183.4,35,8
13060,307.53000000000003,123,15
13061,248.61,107,10
13062,346.98,343,11
13064,1119.4900000000005,516,69
13065,205.85999999999999,74,14
13066,470.80000000000007,322,48
13067,115.46000000000002,32,15
13068,344,200,2
13069,4436.119999999994,5885,425
13070,228.8,110,9
13072,177.14999999999998,69,7
13075,919.61,485,22
13077,729.2700000000001,863,112
13078,12627.94,5630,358
13079,220.09999999999997,62,6
13080,58.08,120,6
13081,28337.38000000005,19068,1024
13082,3613.6300000000006,4324,73
13083,303.75,187,18
13085,416.08000000000004,216,22
13089,58825.83000000013,31070,1818
13090,8910.82,2263,155
13091,345.82,466,21
13092,477.83,279,25
13093,7832.469999999998,3961,159
13094,1927.3200000000002,1716,24
13095,74.4,144,6
13097,6010.419999999994,2363,423
13098,28882.440000000013,15968,572
13099,207.35999999999999,288,1
13101,101.18999999999998,113,8
13102,6424.090000000001,4204,304
13103,243.94,82,8
13104,1098.48,504,20
13106,76.5,18,1
13107,1531.6200000000003,1293,58
13108,350.05999999999995,298,10
13109,786.5400000000001,520,47
13110,1488.6700000000012,388,145
13113,12245.960000000003,3045,200
13115,2294.7800000000007,1567,120
13116,501.14000000000004,291,30
13117,984.9099999999996,945,76
13118,1197.8099999999995,410,79
13120,30.599999999999998,12,1
13121,283.7299999999999,252,50
13122,922.3900000000002,585,55
13124,3866.3299999999977,2147,235
13126,2099.6399999999994,2143,140
13127,259.16999999999996,127,15
13130,64,32,2
13131,1073.2999999999997,447,44
13132,77.3,20,3
13133,109.80000000000001,32,7
13134,1793.58,1059,98
13135,3096,4300,1
13136,2607.6099999999997,1328,127
13137,3650.409999999999,2226,704
13138,962.3900000000001,473,63
13139,5064.940000000003,2425,170
13140,423.71999999999997,186,46
13141,2388.7499999999995,1548,135
13142,307.0899999999999,258,23
13144,110.94999999999999,21,3
13145,618.52,145,6
13146,228.91,154,17
13147,712.8000000000001,144,4
13148,3707.120000000001,1975,319
13149,1676.0599999999997,1280,86
13151,1257.8700000000003,363,74
13153,486.22,418,15
13155,971.76,497,85
13157,1741.2199999999991,1439,87
13158,1201.0600000000004,784,79
13159,1437.8500000000006,1059,121
13160,91.8,56,4
13161,112.75,29,8
13162,1688.2899999999995,1713,79
13165,1021.4799999999999,1376,42
13166,417.19999999999993,216,41
13167,791.3300000000002,785,65
13168,1319.19,682,131
13169,712.88,272,13
13170,116.01000000000002,147,32
13171,468.4099999999999,229,46
13173,353.65000000000003,277,43
13174,2817.0300000000007,1395,314
13176,492.8400000000001,453,72
13177,282.45,91,17
13178,5725.470000000003,3570,265
13182,121.17999999999999,201,11
13183,3957.7800000000016,2208,94
13184,1701.2900000000009,1692,181
13185,71.4,12,1
13186,1575.8900000000003,820,79
13187,236.01999999999995,95,37
13188,114.60000000000001,25,2
13189,260.68,842,29
13192,911.9400000000002,595,63
13193,117.88000000000001,50,29
13194,60.7,26,3
13196,1797.78,1224,110
13198,3401.239999999997,2648,226
13199,9817.120000000003,6176,119
13200,870.09,516,46
13203,869.4599999999999,800,57
13207,250.26000000000002,130,8
13208,1223.8999999999999,804,149
13209,5891.609999999999,4253,321
13210,353.47999999999996,316,22
13211,1197.4199999999998,874,56
13212,788.0799999999998,310,142
13213,1520.5800000000004,1360,90
13216,333.74,297,5
13217,533.98,262,4
13218,62.64,88,5
13220,819.29,196,21
13221,847.4100000000001,244,66
13223,163.20000000000002,88,5
13224,2155.9499999999994,1518,108
13225,6463.840000000002,3416,32
13226,108.21000000000001,80,16
13227,257.7,99,9
13228,358,200,2
13229,160.95,63,10
13230,2806.9700000000007,1665,611
13232,1357.6000000000015,778,207
13233,605.1200000000001,1004,43
13235,1031.0699999999997,441,58
13236,744.8500000000003,416,36
13238,700.7300000000001,298,31
13239,329.56,327,21
13240,663.6500000000001,298,67
13242,270.40000000000003,130,13
13243,600.07,233,58
13244,121.74000000000001,38,27
13245,430.5,125,16
13246,1987.3000000000009,1602,141
13247,501.12,328,25
13248,465.6799999999999,305,26
13249,711.41,546,23
13253,1030.3999999999999,1572,36
13255,399.51,177,13
13258,698.5799999999999,287,38
13259,292.3199999999999,132,87
13260,557.6200000000001,142,8
13261,944.1,210,9
13262,200.29000000000002,125,11
13263,7454.069999999956,4780,1677
13265,2107.6600000000008,1752,91
13266,3834.26,4428,187
13267,4521.490000000001,1969,211
13268,3214.6899999999996,3658,440
13269,5346.23,3514,316
13270,590,200,1
13271,217.3799999999999,253,96
13272,276.56000000000006,96,15
13273,138.97999999999996,153,16
13276,590.93,161,30
13277,258.4,176,8
13278,542.73,537,46
13279,137.75,73,9
13280,814.8600000000001,522,85
13282,1132.1399999999999,307,37
13283,93.66,90,7
13284,201.19,91,13
13285,2709.1200000000003,2051,187
13291,361.10999999999996,233,42
13292,578.9399999999999,347,31
13294,873.7399999999998,453,54
13295,201.2,82,10
13296,87.4,78,5
13297,2089.8500000000004,963,59
13298,360,96,2
13299,142.5,30,5
13300,371.89000000000004,203,20
13301,618.0899999999998,345,81
13302,63.75,5,1
13304,300.4199999999999,238,21
13305,2000.8599999999992,1232,81
13307,15,4,1
13308,1385.51,843,54
13309,1456.7899999999993,1544,107
13310,1132.0300000000002,587,72
13311,598.57,305,26
13313,1555.3199999999993,851,78
13314,775.9400000000002,560,62
13316,5977.730000000001,6948,87
13317,2273.679999999999,1035,124
13318,640.76,304,20
13319,10845.549999999988,4724,476
13320,1548.7000000000003,1096,106
13321,567.36,372,11
13322,199.48,117,25
13323,787.85,175,21
13324,7121.949999999994,5205,75
13325,675.3,240,12
13327,3627.769999999998,1600,108
13328,1308.48,680,17
13329,789,463,17
13330,1140.9299999999996,751,53
13332,350.9,179,21
13334,3536.819999999998,1774,268
13336,795.12,559,51
13338,487.02,256,19
13339,860.1200000000002,326,54
13340,10736.47999999999,5770,134
13341,775.8499999999999,301,42
13343,353.43,135,19
13344,2543.720000000002,971,119
13345,389.50000000000006,141,20
13347,341.36,205,8
13348,233.76,136,14
13349,247.31999999999996,225,16
13350,979.1199999999999,287,40
13351,373.94,117,16
13352,397.9800000000001,321,24
13354,743.5300000000003,604,51
13355,674.7,314,32
13356,768.2400000000001,325,42
13357,609.9500000000002,322,90
13358,439.03000000000003,285,29
13359,439.55999999999995,161,23
13362,3090.7399999999984,1382,166
13363,992.5000000000002,710,60
13364,134.96,71,10
13365,2225.3700000000013,1247,128
13366,56.160000000000004,144,1
13368,623.4,327,29
13369,308.28000000000003,149,14
13370,754.8700000000003,343,39
13372,378.64,159,23
13373,3312.2500000000005,1651,158
13375,778.6499999999997,442,37
13376,1019.7600000000003,493,53
13379,572.5599999999997,601,97
13381,3639.3100000000004,2029,172
13382,222.99,131,15
13384,4151.929999999999,2422,152
13385,534.5700000000002,281,35
13388,677.1000000000001,282,35
13389,797.96,429,51
13390,544.0799999999999,224,13
13391,59.8,4,1
13394,2520.0199999999995,2392,155
13395,307.72,336,21
13396,1360.9899999999998,600,43
13397,1544.1299999999997,430,38
13398,457.3400000000001,281,26
13402,621.2300000000002,479,39
13403,75,44,3
13404,252.48999999999998,111,11
13405,572.4509999999999,165,27
13408,28117.039999999983,16232,478
13410,1003.0600000000001,518,28
13411,213.55000000000004,72,18
13414,1390.5,1574,24
13416,712.5000000000001,142,19
13417,640.83,162,28
13418,6127.429999999998,3918,304
13419,221.05999999999995,275,16
13420,159.85,101,8
13421,1851.0799999999995,1181,104
13422,2626.3000000000006,1326,127
13425,1624.2099999999998,1123,78
13426,3641.3199999999974,2245,157
13427,582.6,545,29
13428,218.46999999999994,156,74
13429,1006.8000000000001,1390,67
13430,679.45,751,49
13431,1269.0999999999995,672,46
13434,534.24,300,10
13435,3809.89,2129,101
13436,196.88999999999996,76,12
13437,3408.0599999999995,1283,167
13439,283.71,242,54
13441,296.64000000000004,204,13
13447,1129.14,584,59
13448,3539.370000000002,1660,195
13449,291.88,222,19
13450,2043.7200000000003,1982,71
13451,2976.149999999999,2149,443
13452,590,2,2
13453,356.98,134,17
13455,1058.34,354,46
13456,1766.7199999999998,765,63
13458,9646.570000000002,5508,382
13460,183.44,286,17
13461,1445.0000000000002,1170,27
13462,151.5,62,9
13464,674.6800000000002,403,41
13466,307.90000000000003,259,17
13467,1083.71,584,99
13468,5704.970000000001,2589,302
13470,165,100,10
13471,2531.579999999998,1590,260
13473,422.64,266,21
13474,229.58999999999997,132,64
13475,1431.7800000000009,1012,86
13476,1238.4699999999998,417,58
13477,1454.579999999999,1021,79
13479,300.95,134,15
13481,1804.5599999999993,1142,109
13482,184.64,116,11
13483,140.34000000000003,160,10
13484,313.79999999999995,44,8
13485,454.24,277,23
13486,1122.4099999999999,669,69
13487,575.4000000000001,265,34
13488,8968.309999999996,4518,422
13489,449.52,560,14
13491,1215.82,903,86
13492,1269.8400000000006,408,50
13493,618.63,380,8
13494,316.26,162,18
13495,2044.8699999999997,829,48
13496,653.3299999999999,341,35
13497,348.04999999999995,163,19
13499,1159.11,1365,42
13500,1166.7700000000002,609,65
13501,1340.3199999999997,560,52
13502,292,264,18
13503,216.84999999999997,248,17
13504,295.93,178,22
13505,4393.629999999999,2486,215
13506,458.52000000000004,324,26
13507,2479.159999999999,1597,162
13508,110.97,24,12
13509,979.7200000000001,1106,44
13510,1791.5599999999984,1386,115
13512,251.20999999999998,143,15
13513,205.09999999999997,109,10
13514,152.20000000000002,40,4
13515,891.1200000000002,681,59
13516,1389.4100000000003,985,44
13517,2128.42,1369,141
13518,659.4399999999998,392,38
13519,122.75,23,8
13520,3624.349999999999,1649,93
13521,1093.6500000000003,736,436
13522,125.80000000000001,44,5
13523,3964.8800000000006,1752,172
13524,680.1800000000001,324,27
13525,628.78,394,6
13527,2287.5100000000007,1692,223
13529,307.76,74,15
13531,483.8000000000001,174,22
13532,210.30999999999983,129,66
13533,270.79000000000013,204,76
13534,5870.080000000015,2961,296
13536,3448.2899999999986,2136,179
13538,1280.85,175,25
13539,631.3400000000001,320,37
13544,291.4099999999999,127,87
13546,626.9899999999999,359,98
13548,682.41,441,124
13549,918.1999999999998,458,51
13551,91.80000000000001,12,4
13552,3740.070000000001,1417,109
13555,4149.2800000000025,2660,136
13557,584.0600000000001,546,34
13558,605.0599999999998,344,175
13560,174.37000000000003,64,33
13561,141.86,83,14
13562,1799.3299999999988,757,82
13563,777.5300000000001,209,49
13564,1749.0200000000004,661,83
13565,240.22000000000006,172,38
13566,874.7099999999997,575,176
13568,192.85000000000005,70,44
13569,373.74999999999994,164,85
13570,239.49000000000004,161,27
13571,2092.32,1759,341
13572,1384.25,534,33
13573,294.4,303,26
13575,732.0699999999997,449,46
13576,6717.340000000001,2646,126
13577,1687.5999999999988,791,83
13579,467.03999999999996,176,23
13581,117.99999999999999,30,10
13583,781.0300000000002,725,53
13584,142.40000000000003,37,24
13587,712.4,180,8
13588,2478.949999999998,2606,174
13589,379.65000000000003,114,21
13590,1981.9199999999994,1848,87
13591,1117.1300000000003,485,58
13592,247.95999999999995,84,16
13593,2037.0800000000008,731,128
13594,396.96999999999997,359,26
13596,697.04,406,166
13598,180.1700000000001,58,40
13599,5153.669999999998,3294,247
13600,219.51999999999998,324,19
13601,693.3200000000002,548,99
13602,428.88999999999993,267,23
13603,164.34,164,27
13606,280.53999999999996,279,43
13607,678.0099999999996,290,98
13610,1131.8800000000006,516,226
13611,1171.8000000000002,766,74
13614,1610.460000000001,570,201
13615,417.6900000000001,189,23
13617,544.18,300,44
13618,177.34000000000003,246,13
13621,213.85,343,19
13623,747.7800000000003,294,81
13626,257.22999999999996,209,19
13627,1638.4700000000003,1269,92
13629,7792.36,4372,59
13630,2031.7800000000002,1391,71
13631,3070.42,467,11
13632,2121.27,1037,146
13634,1575.1600000000003,704,188
13635,1071.0300000000002,677,62
13636,949.1199999999999,592,63
13637,810.4999999999998,409,101
13638,122.64000000000001,93,8
13639,1033.3400000000001,800,40
13642,354.7999999999999,173,66
13643,519.44,273,28
13644,2624.260000000001,2067,146
13645,252.1,158,5
13647,1678.1200000000001,895,79
13649,346.6000000000001,139,23
13650,1836.34,922,96
13651,94.2,33,6
13652,1095.08,578,63
13654,2707.329999999999,2182,166
13655,932.9700000000004,605,56
13656,379.65000000000003,490,49
13657,382.13999999999993,209,16
13658,2639.1700000000037,1019,108
13659,1573.2000000000007,894,104
13662,897.7600000000001,543,53
13663,189.47,91,13
13666,84.65000000000002,41,12
13667,305.0199999999998,154,87
